task_id,question_id,model_name,trial1_missing,trial2_missing,trial3_missing,run_id
288,11913255_0062,mercury-2,0,1,0,run_import_20260728_075450_b9489921
289,11913255_0063,gpt-5-mini,1,0,0,run_import_20260728_075450_50c9f701
291,11913255_0065,claude-opus-4-6,1,0,0,run_import_20260728_075450_e7d7ea2a
293,11913255_0067,claude-opus-4-6,0,1,0,run_import_20260728_075450_45f72356
298,11913255_0072,gpt-5-mini,0,1,0,run_import_20260728_075450_e34a633e
303,11913255_0077,claude-opus-4-6,1,0,0,run_import_20260728_075450_91d524d4
304,11913255_0078,gpt-5-mini,0,1,0,run_import_20260728_075450_cd9cd47e
305,11913255_0079,gpt-5-mini,0,1,0,run_import_20260728_075450_b3cdd715
307,11913255_0081,mercury-2,1,0,0,run_import_20260728_075450_33071d53
308,11913255_0082,gpt-5-mini,0,0,1,run_import_20260728_075450_1654cec3
309,11913255_0083,gpt-5-mini,0,1,1,run_import_20260728_075450_8b150a8c
313,11913255_0087,mercury-2,0,1,0,run_import_20260728_075450_b6123210
320,11913255_0094,gpt-5-mini,0,1,1,run_import_20260728_075451_4ea243a1
321,11913255_0095,gpt-5-mini,1,0,0,run_import_20260728_075451_97ee7cc4
330,11913255_0104,gpt-5-mini,1,0,1,run_import_20260728_075451_8329103c
330,11913255_0104,mercury-2,0,0,1,run_import_20260728_075451_8329103c
337,11913255_0111,gpt-5-mini,1,0,0,run_import_20260728_075451_e923ae99
345,11913255_0119,gpt-5-mini,0,0,1,run_import_20260728_075452_a036a11c
352,11913255_0126,mercury-2,1,0,1,run_import_20260728_075452_f7053c82
354,11913255_0128,gpt-5-mini,0,0,1,run_import_20260728_075452_8e601397
354,11913255_0128,mercury-2,0,0,1,run_import_20260728_075452_8e601397
355,11913255_0129,gpt-5-mini,0,0,1,run_import_20260728_075452_dd15348b
357,11913255_0131,gpt-5-mini,0,0,1,run_import_20260728_075452_b2fa9c15
358,11913255_0132,gpt-5-mini,0,1,0,run_import_20260728_075452_175c421b
359,11913255_0133,gpt-5-mini,0,0,1,run_import_20260728_075452_f05953ec
370,11913255_0144,gpt-5-mini,1,1,1,run_import_20260728_075453_db7f14bf
372,11913255_0146,mercury-2,0,1,0,run_import_20260728_075453_2d2a5dd4
384,11913255_0158,mercury-2,0,1,0,run_import_20260728_075453_c8784510
385,11913255_0159,mercury-2,1,0,1,run_import_20260728_075453_0745367f
392,11913255_0166,gpt-5-mini,0,0,1,run_import_20260728_075453_8ab056e9
393,11913255_0167,mercury-2,0,0,1,run_import_20260728_075453_1e389791
395,11913255_0169,gpt-5-mini,1,0,1,run_import_20260728_075453_fb8d3df2
396,11913255_0170,gpt-5-mini,0,1,0,run_import_20260728_075454_edaaf845
397,11913255_0171,gpt-5-mini,0,1,0,run_import_20260728_075454_453841bf
404,11913255_0178,gpt-5-mini,0,0,1,run_import_20260728_075454_f9582222
406,11913255_0180,gpt-5-mini,1,1,1,run_import_20260728_075454_b4dbd0e4
407,11913255_0181,mercury-2,1,1,1,run_import_20260728_075454_585f5409
416,11913255_0190,gpt-5-mini,0,0,1,run_import_20260728_075454_ec084e77
417,11913255_0191,mercury-2,0,0,1,run_import_20260728_075454_c1f1a451
424,11913255_0198,mercury-2,0,0,1,run_import_20260728_075455_ec7762a3
435,11913255_0209,gpt-5-mini,0,1,0,run_import_20260728_075455_650c0878
435,11913255_0209,mercury-2,1,0,0,run_import_20260728_075455_650c0878
439,11913255_0213,mercury-2,0,0,1,run_import_20260728_075455_24c63443
444,11913255_0218,gpt-5-mini,0,0,1,run_import_20260728_075455_ddceadb0
453,11913255_0227,mercury-2,0,1,0,run_import_20260728_075456_32f379f5
457,11913255_0231,gpt-5-mini,0,1,0,run_import_20260728_075456_166be42b
461,11913255_0235,gpt-5.2,0,1,0,run_import_20260728_075456_f11cb631
462,11913255_0236,gpt-5-mini,1,0,0,run_import_20260728_075456_96b86c86
466,11913255_0240,mercury-2,1,0,1,run_import_20260728_075456_591806ea
481,11913255_0255,mercury-2,0,0,1,run_import_20260728_075457_bf6761cf
494,11913255_0268,gpt-5-mini,1,0,0,run_import_20260728_075457_90c7665d
509,11913255_0283,mercury-2,0,0,1,run_import_20260728_075458_4ef70fbf
510,11913255_0284,gpt-5-mini,0,0,1,run_import_20260728_075458_2938a4ec
511,11913255_0285,gpt-5-mini,0,1,0,run_import_20260728_075458_f8723925
512,11913255_0286,mercury-2,1,1,0,run_import_20260728_075458_2986d7e1
513,11913255_0287,gpt-5-mini,1,1,0,run_import_20260728_075458_6c8dc743
16,12008933_0008,mercury-2,0,1,0,run_import_20260728_075459_f2c3f993
11,12008933_0015,DeepSeek-V3.2,0,1,0,run_import_20260728_075459_46a82c0a
14,12008933_0019,gpt-5-mini,0,1,0,run_import_20260728_075459_147e2da9
21,12008933_0024,gpt-5-mini,0,0,1,run_import_20260728_075459_8b5d9c28
21,12008933_0024,mercury-2,0,1,0,run_import_20260728_075459_8b5d9c28
28,12008933_0029,gpt-4o,1,1,1,run_import_20260728_075459_32526e2f
27,12008933_0030,gpt-4o,1,1,1,run_import_20260728_075500_bcfd9524
30,12008933_0031,mercury-2,0,0,1,run_import_20260728_075500_810e1d8e
32,12008933_0033,gpt-5-mini,0,1,1,run_import_20260728_075500_40b52450
37,12008933_0038,gpt-5-mini,0,1,1,run_import_20260728_075500_8e9ac550
38,12008933_0039,gpt-5-mini,0,1,1,run_import_20260728_075500_9dbf43af
39,12008933_0040,gpt-5-mini,1,0,0,run_import_20260728_075500_da4aeed3
48,12008933_0049,claude-opus-4-6,0,1,1,run_import_20260728_075500_b2da2bac
52,12008933_0053,mercury-2,0,0,1,run_import_20260728_075500_bba784a6
54,12008933_0055,claude-opus-4-6,0,1,1,run_import_20260728_075501_9a2966cf
57,12008933_0058,mercury-2,0,0,1,run_import_20260728_075501_9af4c17e
67,12008933_0068,claude-opus-4-6,0,1,0,run_import_20260728_075501_a795952b
71,12008933_0072,claude-opus-4-6,1,0,0,run_import_20260728_075501_3580ee9b
74,12008933_0075,claude-opus-4-6,0,1,1,run_import_20260728_075501_d6c54e6c
76,12008933_0077,claude-opus-4-6,0,1,0,run_import_20260728_075501_dd5d2f0d
79,12008933_0080,claude-opus-4-6,0,1,0,run_import_20260728_075502_53781bbc
81,12008933_0082,claude-opus-4-6,1,0,1,run_import_20260728_075502_e601f168
83,12008933_0084,claude-opus-4-6,1,0,1,run_import_20260728_075502_302599ca
88,12008933_0089,claude-opus-4-6,0,0,1,run_import_20260728_075502_4bb3ddda
93,12008933_0094,mercury-2,0,0,1,run_import_20260728_075502_6eab0c76
97,12008933_0098,claude-opus-4-6,0,1,0,run_import_20260728_075502_410033ea
98,12008933_0099,claude-opus-4-6,0,0,1,run_import_20260728_075502_5d7111dc
108,12008933_0109,claude-opus-4-6,1,0,0,run_import_20260728_075503_9cd79410
113,12008933_0114,claude-opus-4-6,0,1,1,run_import_20260728_075503_3d173255
117,12008933_0118,claude-opus-4-6,0,1,1,run_import_20260728_075503_6a6f5611
123,12008933_0124,claude-opus-4-6,0,1,1,run_import_20260728_075503_655a069b
131,12008933_0132,mercury-2,0,0,1,run_import_20260728_075504_19df5db4
137,12008933_0138,claude-opus-4-6,0,0,1,run_import_20260728_075504_34c46c84
144,12008933_0145,claude-sonnet-4-6,0,1,1,run_import_20260728_075504_e5daecb5
1264,12015528_0001,gpt-5-mini,0,1,1,run_import_20260727_101444_febb4a08
1265,12015528_0002,gpt-5-mini,0,1,1,run_import_20260727_101444_0b2f186b
1265,12015528_0002,mercury-2,1,0,1,run_import_20260727_101444_0b2f186b
1266,12015528_0003,gpt-5-mini,1,0,0,run_import_20260727_101700_aa69e165
1268,12015528_0005,gpt-5-mini,1,0,1,run_import_20260727_101700_88aab44c
1269,12015528_0006,gpt-5-mini,1,1,0,run_import_20260727_101700_3d0a23aa
1270,12015528_0007,gpt-5-mini,1,0,1,run_import_20260727_101700_8016822d
1271,12015528_0008,gpt-5-mini,0,0,1,run_import_20260727_101700_1c6dc41f
1273,12015528_0010,gpt-5-mini,0,1,0,run_import_20260727_101700_9b4954de
1273,12015528_0010,mercury-2,0,1,0,run_import_20260727_101700_9b4954de
1274,12015528_0011,gpt-5-mini,1,1,1,run_import_20260727_101700_1da87b95
1276,12015528_0013,gpt-5-mini,1,1,1,run_import_20260727_101700_f0de3b97
1276,12015528_0013,mercury-2,0,1,1,run_import_20260727_101700_f0de3b97
1277,12015528_0014,gpt-5-mini,1,0,0,run_import_20260727_101700_82921930
1278,12015528_0015,gpt-5-mini,1,0,0,run_import_20260727_101700_f685dd54
1278,12015528_0015,mercury-2,1,0,0,run_import_20260727_101700_f685dd54
1280,12015528_0017,gpt-5-mini,1,1,1,run_import_20260727_101700_68bee2a8
1280,12015528_0017,mercury-2,0,1,0,run_import_20260727_101700_68bee2a8
1281,12015528_0018,mercury-2,1,1,0,run_import_20260727_101700_1c05d666
1282,12015528_0019,gpt-5-mini,0,1,1,run_import_20260727_101700_40622c5b
1282,12015528_0019,mercury-2,1,0,1,run_import_20260727_101700_40622c5b
1283,12015528_0020,gpt-4o,1,0,1,run_import_20260727_101700_e415457b
1283,12015528_0020,gpt-5-mini,0,0,1,run_import_20260727_101700_e415457b
1284,12015528_0021,gpt-5-mini,0,1,0,run_import_20260727_101700_8c1e5c25
1284,12015528_0021,mercury-2,1,1,1,run_import_20260727_101700_8c1e5c25
1285,12015528_0022,gpt-5-mini,1,0,0,run_import_20260727_101700_03773b06
1285,12015528_0022,mercury-2,1,1,1,run_import_20260727_101700_03773b06
1287,12015528_0024,gpt-5-mini,1,1,1,run_import_20260727_101701_72bef7d9
1287,12015528_0024,mercury-2,0,1,1,run_import_20260727_101701_72bef7d9
1288,12015528_0025,gpt-5-mini,0,1,1,run_import_20260727_101701_8cea705d
1293,12015528_0030,gpt-5-mini,1,1,1,run_import_20260727_101701_593a687b
1293,12015528_0030,mercury-2,1,1,1,run_import_20260727_101701_593a687b
1299,12015528_0036,claude-opus-4-6,0,1,0,run_import_20260727_101701_500028dc
1299,12015528_0036,gpt-5-mini,0,0,1,run_import_20260727_101701_500028dc
1301,12015528_0038,claude-opus-4-6,0,1,1,run_import_20260727_101701_e029f77c
1302,12015528_0039,gpt-5-mini,1,1,1,run_import_20260727_101701_cd7e8abd
1302,12015528_0039,mercury-2,0,1,1,run_import_20260727_101701_cd7e8abd
1305,12015528_0042,gpt-5-mini,0,1,0,run_import_20260727_101701_a712fc32
1305,12015528_0042,mercury-2,0,1,0,run_import_20260727_101701_a712fc32
1307,12015528_0044,claude-opus-4-6,0,1,0,run_import_20260727_101701_c36eb984
162,12030864_0001,mercury-2,1,0,0,run_import_20260728_075505_07cc70f5
164,12030864_0003,mercury-2,1,0,0,run_import_20260728_075505_def7c78b
165,12030864_0004,gpt-5-mini,0,1,0,run_import_20260728_075505_45a16dec
166,12030864_0005,gpt-5-mini,1,1,1,run_import_20260728_075505_c289d60a
167,12030864_0006,gpt-5-mini,0,1,0,run_import_20260728_075505_e29a87f8
168,12030864_0007,gpt-5-mini,1,0,0,run_import_20260728_075505_5a57220e
168,12030864_0007,mercury-2,0,0,1,run_import_20260728_075505_5a57220e
169,12030864_0008,gpt-5-mini,0,0,1,run_import_20260728_075505_359b8deb
172,12030864_0011,gpt-5-mini,1,0,1,run_import_20260728_075505_670acd1d
172,12030864_0011,mercury-2,0,1,0,run_import_20260728_075505_670acd1d
173,12030864_0012,gpt-5-mini,0,0,1,run_import_20260728_075505_c7aed3df
175,12030864_0014,gpt-5-mini,0,0,1,run_import_20260728_075505_65c2bdc0
176,12030864_0015,gpt-5-mini,1,1,1,run_import_20260728_075505_bf4b28a8
176,12030864_0015,mercury-2,0,0,1,run_import_20260728_075505_bf4b28a8
181,12030864_0020,gpt-5-mini,1,1,1,run_import_20260728_075506_1466c63a
184,12030864_0023,gpt-5-mini,0,1,0,run_import_20260728_075506_08749f43
187,12030864_0026,gpt-5-mini,1,1,0,run_import_20260728_075506_a1adc308
190,12030864_0029,gpt-5-mini,0,0,1,run_import_20260728_075506_2665dc1a
191,12030864_0030,mercury-2,1,0,0,run_import_20260728_075506_a67ae1bc
201,12030864_0040,gpt-5-mini,1,1,1,run_import_20260728_075506_13475bb1
202,12030864_0041,gpt-5-mini,1,1,0,run_import_20260728_075506_7f78843d
202,12030864_0041,mercury-2,0,1,1,run_import_20260728_075506_7f78843d
203,12030864_0042,gpt-5-mini,1,0,0,run_import_20260728_075506_889a0f3f
205,12030864_0044,gpt-5-mini,1,1,0,run_import_20260728_075507_9571a6d7
205,12030864_0044,mercury-2,0,1,0,run_import_20260728_075507_9571a6d7
207,12030864_0046,gpt-5-mini,0,0,1,run_import_20260728_075507_f5084af3
208,12030864_0047,gpt-5-mini,1,0,0,run_import_20260728_075507_ee0cee40
210,12030864_0049,mercury-2,0,1,0,run_import_20260728_075507_5d547d7d
211,12030864_0050,gpt-5-mini,0,1,0,run_import_20260728_075507_a1223f1e
212,12030864_0051,gpt-5-mini,1,1,0,run_import_20260728_075507_d3ae21ae
157,12308280_0001,gpt-4o,1,1,0,run_import_20260728_075507_8921a017
